***23 Semaine;;;
Artimer;;;;12:45;
Diaka / Centre Culturel;;;;12:50;
Stade;;;;12:51;
Marina;;;;12:53;
Pointe Marin Plage;;;;13:02;
Mairie;;;;13:04;
Bourg Sainte Anne;6:40;9:10;10:00;13:05;15:00
Belfond - Club Med;6:47;9:17;10:07;13:12;15:07
Caritan;6:57;9:27;10:17;13:22;15:17
Beauregard;7:02;9:32;10:22;13:27;15:22
Salines Plage;7:07;9:37;10:27;13:32;15:27
Beauregard;7:10;9:40;10:30;13:35;15:30
Bourg Sainte Anne;7:12;9:42;10:32;13:37;15:32

*** 23 Week-End;;
Bourg Sainte Anne;6:25;7:45;9:00;11:00
Belfond - Club Med;6:32;7:52;9:07;11:07
Caritan;6:42;8:02;9:17;11:17
Beauregard;6:47;8:07;9:22;11:22
Salines Plage;6:52;8:12;9:27;11:27
Bourg Sainte Anne;6:57;8:17;9:32;11:32
